,accession,trivname
209,Q7L3T8,SYPM_HUMAN
210,Q1AE95,T183B_HUMAN
211,A7MCY6,TBKB1_HUMAN
212,Q96SF7,TBX15_HUMAN
213,Q8N584,TT39C_HUMAN
214,Q6SA08,TSSK4_HUMAN
215,Q6PF05,TT23L_HUMAN
216,Q8WUA8,TSK_HUMAN
217,O14817,TSN4_HUMAN
218,A0A0B4J263,TVA39_HUMAN
219,P01737,TVA84_HUMAN
220,A0A0A6YYK1,TVA81_HUMAN
221,A0A087WV62,TVB16_HUMAN
222,Q9HCF6,TRPM3_HUMAN
223,P42681,TXK_HUMAN
224,O14933,UB2L6_HUMAN
225,Q70EK9,UBP51_HUMAN
226,Q6UWM9,UD2A3_HUMAN
227,Q9UK61,TASOR_HUMAN
228,O95935,TBX18_HUMAN
229,O15119,TBX3_HUMAN
230,Q8NEK8,TET5D_HUMAN
231,Q7Z5A7,TAFA5_HUMAN
232,Q9BU02,THTPA_HUMAN
233,A0A1B0GUA7,TEX51_HUMAN
234,Q8NA77,TEX19_HUMAN
235,Q9NPI0,TM138_HUMAN
236,O14925,TIM23_HUMAN
237,Q9NZ63,TLS1_HUMAN
238,Q16143,SYUB_HUMAN
239,Q9UJW2,TINAG_HUMAN
240,P61812,TGFB2_HUMAN
241,Q9NZ01,TECR_HUMAN
242,Q86SX3,TEDC1_HUMAN
243,Q96PL2,TECTB_HUMAN
244,O75865,TPC6A_HUMAN
245,P82094,TMF1_HUMAN
246,P20333,TNR1B_HUMAN
247,A0A0C4DH27,TRGV8_HUMAN
248,Q96J77,TPD55_HUMAN
249,Q96B42,TMM18_HUMAN
250,O15417,TNC18_HUMAN
251,Q5T2D2,TRML2_HUMAN
252,Q92544,TM9S4_HUMAN
253,Q5T6R2,TPT2L_HUMAN
254,Q96Q45,TM237_HUMAN
255,Q6GV28,TM225_HUMAN
256,Q96A57,TM230_HUMAN
257,P60174,TPIS_HUMAN
258,Q5SRH9,TT39A_HUMAN
259,P0C7H9,U17L7_HUMAN
260,O95292,VAPB_HUMAN
261,Q9Y5J1,UTP18_HUMAN
262,Q8N1B4,VPS52_HUMAN
263,Q9Y487,VPP2_HUMAN
264,Q9NNW5,WDR6_HUMAN
265,Q5GH73,XKR6_HUMAN
266,Q96IQ7,VSIG2_HUMAN
267,Q9UI72,YE014_HUMAN
268,P49750,YLPM1_HUMAN
269,A8MWP6,YQ019_HUMAN
270,Q49AA0,ZFP69_HUMAN
271,Q3KQV3,ZN792_HUMAN
272,A6NGD5,ZSA5C_HUMAN
273,Q0IIN9,ZNFS1_HUMAN
274,A6NFI3,ZN316_HUMAN
275,Q6ZN55,ZN574_HUMAN
276,Q6ZSR6,YP007_HUMAN
277,Q9UK33,ZN580_HUMAN
278,Q9H582,ZN644_HUMAN
279,Q14585,ZN345_HUMAN
280,Q9HCZ1,ZN334_HUMAN
281,Q8TF68,ZN384_HUMAN
282,Q6PHR2,ULK3_HUMAN
283,Q96I59,SYNM_HUMAN
284,Q9HA47,UCK1_HUMAN
285,P0CG34,TB15A_HUMAN
286,Q6P1K8,T2H2L_HUMAN
287,Q13207,TBX2_HUMAN
288,Q9H3H9,TCAL2_HUMAN
289,A0JD36,TRDV2_HUMAN
290,O94876,TMCC1_HUMAN
291,Q8IWZ5,TRI42_HUMAN
292,Q9BXR5,TLR10_HUMAN
293,Q9BQ61,TRIR_HUMAN
294,Q8N8V8,TM105_HUMAN
295,Q6UXY8,TMC5_HUMAN
296,Q6ZXV5,TMTC3_HUMAN
297,Q5W5X9,TTC23_HUMAN
298,A0A1B0GX78,TVBL5_HUMAN
299,A0A0B4J245,TVAL1_HUMAN
300,O14530,TXND9_HUMAN
301,Q9H3M7,TXNIP_HUMAN
302,P35503,UD13_HUMAN
303,P49767,VEGFC_HUMAN
304,Q9UBK9,UXT_HUMAN
305,P27449,VATL_HUMAN
306,Q8N9X3,YA026_HUMAN
307,Q6ZQT7,YJ013_HUMAN
308,Q5PR19,YI024_HUMAN
309,Q6ZVH6,YK004_HUMAN
310,A6NC05,YD286_HUMAN
311,Q8N966,ZDH22_HUMAN
312,A8MUZ8,Z705G_HUMAN
313,Q8NCP5,ZBT44_HUMAN
314,Q2QGD7,ZXDC_HUMAN
315,Q6NX45,ZN774_HUMAN
316,Q401N2,ZACN_HUMAN
317,Q6ZMW2,ZN782_HUMAN
318,P0CB33,ZN735_HUMAN
319,Q9H6R6,ZDHC6_HUMAN
320,Q3KP31,ZN791_HUMAN
321,Q6ZS49,YQ050_HUMAN
322,P17029,ZKSC1_HUMAN
323,Q9H8U3,ZFAN3_HUMAN
324,Q9ULJ6,ZMIZ1_HUMAN
325,P17017,ZNF14_HUMAN
326,O95625,ZBT11_HUMAN
327,Q08AG5,ZN844_HUMAN
328,P10072,ZN875_HUMAN
