,accession,trivname
46230,D6RJI0,D6RJI0_HUMAN
46231,A0A7I2V2I9,A0A7I2V2I9_HUMAN
46232,U3KQ78,U3KQ78_HUMAN
46233,A0A2R8Y6F0,A0A2R8Y6F0_HUMAN
46234,F8W883,F8W883_HUMAN
46235,C9J6H0,C9J6H0_HUMAN
46236,A0A6Q8PFM1,A0A6Q8PFM1_HUMAN
46237,A0A1B0GV28,A0A1B0GV28_HUMAN
46238,I3L1B5,I3L1B5_HUMAN
46239,A0A6Q8PFA2,A0A6Q8PFA2_HUMAN
46240,E9PL86,E9PL86_HUMAN
46241,F5GXQ0,F5GXQ0_HUMAN
46242,H0YCH6,H0YCH6_HUMAN
46243,A0A6I8PL85,A0A6I8PL85_HUMAN
46244,J3KRY0,J3KRY0_HUMAN
46245,J3QRN7,J3QRN7_HUMAN
46246,Q6NSB6,Q6NSB6_HUMAN
46247,Q7Z430,Q7Z430_HUMAN
46248,H0YLJ1,H0YLJ1_HUMAN
46249,A8MXH2,A8MXH2_HUMAN
46250,Q9GZQ5,Q9GZQ5_HUMAN
46251,F2Z2B4,F2Z2B4_HUMAN
46252,Q9H5I4,Q9H5I4_HUMAN
46253,K7EJT7,K7EJT7_HUMAN
46254,E9PI50,E9PI50_HUMAN
46255,B4E0L7,B4E0L7_HUMAN
46256,B3KR06,B3KR06_HUMAN
46257,E7EQZ4,E7EQZ4_HUMAN
46258,A0A0C4DG69,A0A0C4DG69_HUMAN
46259,C0LTP6,C0LTP6_HUMAN
46260,G5E9I4,G5E9I4_HUMAN
46261,M0R131,M0R131_HUMAN
46262,B7ZLR4,B7ZLR4_HUMAN
46263,H0Y8E2,H0Y8E2_HUMAN
46264,A0A1B0GUG4,A0A1B0GUG4_HUMAN
46265,A0A024R8F3,A0A024R8F3_HUMAN
46266,A6YTA0,A6YTA0_HUMAN
46267,K7EP27,K7EP27_HUMAN
46268,I7HAS0,I7HAS0_HUMAN
46269,K7EIP9,K7EIP9_HUMAN
46270,Q8TDP5,Q8TDP5_HUMAN
46271,A7XZE4,A7XZE4_HUMAN
46272,B7Z1Y3,B7Z1Y3_HUMAN
46273,A0A2R8YCI2,A0A2R8YCI2_HUMAN
46274,H0Y8Q8,H0Y8Q8_HUMAN
46275,A0A3B3IT99,A0A3B3IT99_HUMAN
46276,A0A2R8YDA8,A0A2R8YDA8_HUMAN
46277,Q580Q6,Q580Q6_HUMAN
46278,Q6UWW7,Q6UWW7_HUMAN
46279,G3V1J0,G3V1J0_HUMAN
46280,A0A6Q8PGW4,A0A6Q8PGW4_HUMAN
46281,A0A7I2V551,A0A7I2V551_HUMAN
46282,H0YF31,H0YF31_HUMAN
46283,E9PN84,E9PN84_HUMAN
46284,D9ZHQ6,D9ZHQ6_HUMAN
46285,G3V1W1,G3V1W1_HUMAN
46286,G3V0I9,G3V0I9_HUMAN
46287,Q6P2S0,Q6P2S0_HUMAN
46288,G3V126,G3V126_HUMAN
46289,H0Y9E4,H0Y9E4_HUMAN
46290,B5MEB3,B5MEB3_HUMAN
46291,A0A0G2JQM0,A0A0G2JQM0_HUMAN
46292,D6R975,D6R975_HUMAN
46293,A0A5F9ZHJ2,A0A5F9ZHJ2_HUMAN
46294,J3KRL8,J3KRL8_HUMAN
46295,H3BPS4,H3BPS4_HUMAN
46296,A0A3B3IRW2,A0A3B3IRW2_HUMAN
46297,G3V167,G3V167_HUMAN
46298,D6RBX1,D6RBX1_HUMAN
46299,A0A0S2Z4R8,A0A0S2Z4R8_HUMAN
46300,Q67C41,Q67C41_HUMAN
46301,A0A0J9YXC4,A0A0J9YXC4_HUMAN
46302,G8JLP4,G8JLP4_HUMAN
46303,E9PP89,E9PP89_HUMAN
46304,J3QT39,J3QT39_HUMAN
46305,A0A0B4J291,A0A0B4J291_HUMAN
46306,B7ZAJ4,B7ZAJ4_HUMAN
46307,B4DV78,B4DV78_HUMAN
46308,Q5SS57,Q5SS57_HUMAN
46309,G5E9M7,G5E9M7_HUMAN
46310,B3KNS4,B3KNS4_HUMAN
46311,D6RA86,D6RA86_HUMAN
46312,E5RI24,E5RI24_HUMAN
46313,E9PJX1,E9PJX1_HUMAN
46314,H0YLH3,H0YLH3_HUMAN
46315,Q9UHL7,Q9UHL7_HUMAN
46316,B7ZLP8,B7ZLP8_HUMAN
46317,A0A0G2JNR8,A0A0G2JNR8_HUMAN
46318,A0A087WW63,A0A087WW63_HUMAN
46319,E5RH03,E5RH03_HUMAN
46320,B4DWF2,B4DWF2_HUMAN
46321,Q76H82,Q76H82_HUMAN
46322,Q6NTG3,Q6NTG3_HUMAN
46323,B8ZWD1,B8ZWD1_HUMAN
46324,R4GMN8,R4GMN8_HUMAN
46325,B4DEE7,B4DEE7_HUMAN
46326,A0A1B0GVH2,A0A1B0GVH2_HUMAN
46327,B7Z7P8,B7Z7P8_HUMAN
46328,K7EP41,K7EP41_HUMAN
46329,A0A0C4DFT7,A0A0C4DFT7_HUMAN
46330,M0R338,M0R338_HUMAN
46331,Q0VAP4,Q0VAP4_HUMAN
46332,A0A0A0MT38,A0A0A0MT38_HUMAN
46333,A0A0G2JK64,A0A0G2JK64_HUMAN
46334,E9PMB8,E9PMB8_HUMAN
46335,E9PEL9,E9PEL9_HUMAN
46336,J3QLF3,J3QLF3_HUMAN
46337,J3QKD2,J3QKD2_HUMAN
46338,H0Y799,H0Y799_HUMAN
46339,A0A087X1W6,A0A087X1W6_HUMAN
46340,A0A126GVR8,A0A126GVR8_HUMAN
46341,E5RG39,E5RG39_HUMAN
46342,C9JPM3,C9JPM3_HUMAN
46343,E9PD37,E9PD37_HUMAN
46344,F2Z3N0,F2Z3N0_HUMAN
46345,G3V1Z3,G3V1Z3_HUMAN
46346,F5H6U5,F5H6U5_HUMAN
46347,I3L2A3,I3L2A3_HUMAN
46348,F5GZF3,F5GZF3_HUMAN
46349,E5RJ73,E5RJ73_HUMAN
46350,H7C5F9,H7C5F9_HUMAN
46351,U3KPX1,U3KPX1_HUMAN
46352,A0A087WVM8,A0A087WVM8_HUMAN
46353,H3BQT6,H3BQT6_HUMAN
46354,A0A087WZI2,A0A087WZI2_HUMAN
46355,E5RIP2,E5RIP2_HUMAN
46356,I3L3I5,I3L3I5_HUMAN
46357,K7EQN1,K7EQN1_HUMAN
46358,F8VZ58,F8VZ58_HUMAN
46359,H0YAX4,H0YAX4_HUMAN
46360,F6Y5H0,F6Y5H0_HUMAN
46361,H7BZZ0,H7BZZ0_HUMAN
46362,A0A140LJL2,A0A140LJL2_HUMAN
46363,F2Z3D8,F2Z3D8_HUMAN
46364,H7C424,H7C424_HUMAN
46365,E2QRG9,E2QRG9_HUMAN
46366,I3L340,I3L340_HUMAN
46367,I3L0V7,I3L0V7_HUMAN
46368,J3QLJ2,J3QLJ2_HUMAN
46369,C9JAD7,C9JAD7_HUMAN
46370,H7BYY9,H7BYY9_HUMAN
46371,F5H3C4,F5H3C4_HUMAN
46372,C9JNW0,C9JNW0_HUMAN
46373,G3V5P7,G3V5P7_HUMAN
46374,I3L328,I3L328_HUMAN
46375,U3KQV5,U3KQV5_HUMAN
46376,D6RBF0,D6RBF0_HUMAN
46377,H7C0V6,H7C0V6_HUMAN
46378,J3KTQ9,J3KTQ9_HUMAN
46379,K7EMG5,K7EMG5_HUMAN
46380,H3BTM2,H3BTM2_HUMAN
46381,H7C0J2,H7C0J2_HUMAN
46382,J3QRF1,J3QRF1_HUMAN
46383,A0A087WYJ3,A0A087WYJ3_HUMAN
46384,F5GYP5,F5GYP5_HUMAN
46385,A0A0A0MTT3,A0A0A0MTT3_HUMAN
46386,H0YEQ5,H0YEQ5_HUMAN
46387,A0A087WUN8,A0A087WUN8_HUMAN
46388,F8WER5,F8WER5_HUMAN
46389,F5GY12,F5GY12_HUMAN
46390,D6RDI8,D6RDI8_HUMAN
46391,F2Z2T3,F2Z2T3_HUMAN
46392,F8VWV8,F8VWV8_HUMAN
46393,F5H7T6,F5H7T6_HUMAN
46394,A0A590UJY1,A0A590UJY1_HUMAN
46395,C9IZA4,C9IZA4_HUMAN
46396,H0YA19,H0YA19_HUMAN
46397,E5RFD9,E5RFD9_HUMAN
46398,I3L3Z3,I3L3Z3_HUMAN
46399,A0A087X117,A0A087X117_HUMAN
46400,X6RIP6,X6RIP6_HUMAN
46401,D6RJD2,D6RJD2_HUMAN
46402,H3BPP6,H3BPP6_HUMAN
46403,F2Z2D6,F2Z2D6_HUMAN
46404,A0A3B3IS43,A0A3B3IS43_HUMAN
46405,A6NIT2,A6NIT2_HUMAN
46406,F5H587,F5H587_HUMAN
46407,H0YAE3,H0YAE3_HUMAN
46408,E5RFD1,E5RFD1_HUMAN
46409,E7ES60,E7ES60_HUMAN
46410,M0QXR8,M0QXR8_HUMAN
46411,C9JQ94,C9JQ94_HUMAN
46412,H7BYF1,H7BYF1_HUMAN
46413,A0A2R8Y3S6,A0A2R8Y3S6_HUMAN
46414,E7ENZ2,E7ENZ2_HUMAN
46415,A0A0C4DFY5,A0A0C4DFY5_HUMAN
46416,M0QZ57,M0QZ57_HUMAN
46417,F8VXS0,F8VXS0_HUMAN
46418,A8MXR1,A8MXR1_HUMAN
46419,B5MC89,B5MC89_HUMAN
46420,E5RJR5,E5RJR5_HUMAN
46421,E9PMS1,E9PMS1_HUMAN
46422,C9J7P5,C9J7P5_HUMAN
46423,A0A2U3TZJ9,A0A2U3TZJ9_HUMAN
46424,B5MCH3,B5MCH3_HUMAN
46425,K7ESC4,K7ESC4_HUMAN
46426,H0YCB3,H0YCB3_HUMAN
46427,H0YHL3,H0YHL3_HUMAN
46428,H7C2K7,H7C2K7_HUMAN
46429,H3BTH5,H3BTH5_HUMAN
46430,H7C453,H7C453_HUMAN
46431,A0A494C117,A0A494C117_HUMAN
46432,C9JXU1,C9JXU1_HUMAN
46433,A8MV73,A8MV73_HUMAN
46434,D6REX1,D6REX1_HUMAN
46435,A0A6Q8PGT8,A0A6Q8PGT8_HUMAN
46436,E9PKR4,E9PKR4_HUMAN
46437,V9GY72,V9GY72_HUMAN
46438,Q5T6F6,Q5T6F6_HUMAN
46439,J3QLU9,J3QLU9_HUMAN
46440,E7ETU0,E7ETU0_HUMAN
46441,D6RAV1,D6RAV1_HUMAN
46442,A0A590UJ70,A0A590UJ70_HUMAN
46443,U3KPY3,U3KPY3_HUMAN
46444,H0YF21,H0YF21_HUMAN
46445,A0A140T975,A0A140T975_HUMAN
46446,D6RBK1,D6RBK1_HUMAN
46447,D6RFK4,D6RFK4_HUMAN
46448,J3KT10,J3KT10_HUMAN
46449,A0A0A0MRR4,A0A0A0MRR4_HUMAN
46450,K7EMD6,K7EMD6_HUMAN
46451,E9PGG1,E9PGG1_HUMAN
46452,H0Y7Z6,H0Y7Z6_HUMAN
46453,U3KQ39,U3KQ39_HUMAN
46454,A0A7I2V562,A0A7I2V562_HUMAN
46455,D6RJF0,D6RJF0_HUMAN
46456,C9JFF6,C9JFF6_HUMAN
46457,E9PPU6,E9PPU6_HUMAN
46458,C9JB56,C9JB56_HUMAN
46459,H0YAV3,H0YAV3_HUMAN
46460,A0A087WU48,A0A087WU48_HUMAN
46461,F8WDA9,F8WDA9_HUMAN
46462,B1AR62,B1AR62_HUMAN
46463,H0YGM4,H0YGM4_HUMAN
46464,H0YCB0,H0YCB0_HUMAN
46465,A0A7I2V3I4,A0A7I2V3I4_HUMAN
46466,A0A087WZQ5,A0A087WZQ5_HUMAN
46467,E9PMB5,E9PMB5_HUMAN
46468,F8WEY7,F8WEY7_HUMAN
46469,M0R271,M0R271_HUMAN
46470,B0QYP4,B0QYP4_HUMAN
46471,H7C2N3,H7C2N3_HUMAN
46472,K7EK01,K7EK01_HUMAN
46473,H7C5G4,H7C5G4_HUMAN
46474,H0YCG2,H0YCG2_HUMAN
46475,A0A6Q8PFW0,A0A6Q8PFW0_HUMAN
46476,D6RCC3,D6RCC3_HUMAN
46477,A0A1W2PPA0,A0A1W2PPA0_HUMAN
46478,A0A087WT12,A0A087WT12_HUMAN
46479,A0A7I2V4Y4,A0A7I2V4Y4_HUMAN
46480,A0A7I2V5I5,A0A7I2V5I5_HUMAN
46481,C9JMP5,C9JMP5_HUMAN
46482,A0A2R8Y729,A0A2R8Y729_HUMAN
46483,E5RFZ6,E5RFZ6_HUMAN
46484,M0R172,M0R172_HUMAN
46485,A0A494BYR6,A0A494BYR6_HUMAN
46486,A0A0J9YVV7,A0A0J9YVV7_HUMAN
46487,A0A2R8Y4R7,A0A2R8Y4R7_HUMAN
46488,A0A1W2PS97,A0A1W2PS97_HUMAN
46489,A0A494BZW2,A0A494BZW2_HUMAN
46490,C9JG65,C9JG65_HUMAN
46491,A0A494C1F0,A0A494C1F0_HUMAN
46492,V9GY12,V9GY12_HUMAN
46493,A0A7I2V2X3,A0A7I2V2X3_HUMAN
46494,D6R9D5,D6R9D5_HUMAN
46495,A0A087WY77,A0A087WY77_HUMAN
46496,C9J841,C9J841_HUMAN
46497,J3KSD4,J3KSD4_HUMAN
46498,M0R103,M0R103_HUMAN
46499,D6RGD2,D6RGD2_HUMAN
46500,A0A494C1V2,A0A494C1V2_HUMAN
46501,A0A140T9Z6,A0A140T9Z6_HUMAN
46502,C9J8Q3,C9J8Q3_HUMAN
46503,D6REL6,D6REL6_HUMAN
46504,K7EQ00,K7EQ00_HUMAN
46505,F8WF96,F8WF96_HUMAN
46506,M0QYH7,M0QYH7_HUMAN
46507,Q5VVE8,Q5VVE8_HUMAN
46508,G3V5R9,G3V5R9_HUMAN
46509,K7ERB3,K7ERB3_HUMAN
46510,I3L539,I3L539_HUMAN
46511,J3QQN0,J3QQN0_HUMAN
46512,F8W0V3,F8W0V3_HUMAN
46513,A0A286YEW2,A0A286YEW2_HUMAN
46514,A0A7I2YQD8,A0A7I2YQD8_HUMAN
46515,F5H7C0,F5H7C0_HUMAN
46516,F8WBY6,F8WBY6_HUMAN
46517,H0YJZ6,H0YJZ6_HUMAN
46518,E7EW07,E7EW07_HUMAN
46519,A0A2R8Y797,A0A2R8Y797_HUMAN
46520,A0A286YF47,A0A286YF47_HUMAN
46521,A0A1W2PRU0,A0A1W2PRU0_HUMAN
46522,A0A7I2PMC6,A0A7I2PMC6_HUMAN
46523,K7ERN7,K7ERN7_HUMAN
46524,A0A1B0GTS0,A0A1B0GTS0_HUMAN
46525,C9JVS4,C9JVS4_HUMAN
46526,C9JCL9,C9JCL9_HUMAN
46527,C9J8Z4,C9J8Z4_HUMAN
46528,A0A2R8YFS5,A0A2R8YFS5_HUMAN
46529,A0A1W2PPU3,A0A1W2PPU3_HUMAN
46530,H0YBL1,H0YBL1_HUMAN
46531,A0A7I2V407,A0A7I2V407_HUMAN
46532,A0A3B3IRZ6,A0A3B3IRZ6_HUMAN
46533,C9JSQ1,C9JSQ1_HUMAN
46534,H3BMG8,H3BMG8_HUMAN
46535,M0QZT4,M0QZT4_HUMAN
46536,J3KRZ8,J3KRZ8_HUMAN
46537,A6PVN5,A6PVN5_HUMAN
46538,A0A1W2PP61,A0A1W2PP61_HUMAN
46539,J3KRC0,J3KRC0_HUMAN
46540,A0A0G2JH32,A0A0G2JH32_HUMAN
46541,G3V231,G3V231_HUMAN
46542,H7C045,H7C045_HUMAN
46543,E7EQB8,E7EQB8_HUMAN
46544,A0A140T9Z0,A0A140T9Z0_HUMAN
46545,F8WE64,F8WE64_HUMAN
46546,E9PLN2,E9PLN2_HUMAN
46547,D6RBR7,D6RBR7_HUMAN
46548,X6RM24,X6RM24_HUMAN
46549,K7ERH3,K7ERH3_HUMAN
46550,H0Y4S7,H0Y4S7_HUMAN
46551,I3L1H4,I3L1H4_HUMAN
46552,E9PIY8,E9PIY8_HUMAN
46553,F8WF18,F8WF18_HUMAN
46554,A0A0U1RRH4,A0A0U1RRH4_HUMAN
46555,F8WDI9,F8WDI9_HUMAN
46556,A0A087WZ51,A0A087WZ51_HUMAN
46557,J3KTF9,J3KTF9_HUMAN
46558,D6RD29,D6RD29_HUMAN
46559,E9PND5,E9PND5_HUMAN
46560,F5H5X7,F5H5X7_HUMAN
46561,H0YBR7,H0YBR7_HUMAN
46562,A0A6I8PIX5,A0A6I8PIX5_HUMAN
46563,B5MC47,B5MC47_HUMAN
46564,Q5VXQ8,Q5VXQ8_HUMAN
46565,E7ER83,E7ER83_HUMAN
46566,A0A1B0GV30,A0A1B0GV30_HUMAN
46567,A0A0A0MSB7,A0A0A0MSB7_HUMAN
46568,F8W9T8,F8W9T8_HUMAN
46569,K7EMM2,K7EMM2_HUMAN
46570,F5GYH4,F5GYH4_HUMAN
46571,H0YI14,H0YI14_HUMAN
46572,E9PE95,E9PE95_HUMAN
46573,A0A140TA62,A0A140TA62_HUMAN
46574,A0A0G2JRW2,A0A0G2JRW2_HUMAN
46575,H7C4D4,H7C4D4_HUMAN
46576,A0A087WX62,A0A087WX62_HUMAN
46577,F5H4U1,F5H4U1_HUMAN
46578,H0YGL4,H0YGL4_HUMAN
46579,Q5SR47,Q5SR47_HUMAN
46580,E9PS96,E9PS96_HUMAN
46581,A0A6Q8PHM7,A0A6Q8PHM7_HUMAN
46582,A0A087WYQ4,A0A087WYQ4_HUMAN
46583,K7EIK1,K7EIK1_HUMAN
46584,H3BMQ0,H3BMQ0_HUMAN
46585,F8VYR5,F8VYR5_HUMAN
46586,H3BMA1,H3BMA1_HUMAN
46587,H0YL16,H0YL16_HUMAN
46588,A0A494C0W7,A0A494C0W7_HUMAN
46589,H0Y486,H0Y486_HUMAN
46590,A0A1B0GTM3,A0A1B0GTM3_HUMAN
46591,H7C132,H7C132_HUMAN
46592,F5GZR7,F5GZR7_HUMAN
46593,C9J6X5,C9J6X5_HUMAN
46594,A0A5F9ZHW8,A0A5F9ZHW8_HUMAN
46595,H0Y9J1,H0Y9J1_HUMAN
46596,H0YNU6,H0YNU6_HUMAN
46597,F5H317,F5H317_HUMAN
46598,A0A0J9YVS1,A0A0J9YVS1_HUMAN
46599,H0Y329,H0Y329_HUMAN
46600,A0A6Q8PG59,A0A6Q8PG59_HUMAN
46601,H7C2B1,H7C2B1_HUMAN
46602,H3BMS6,H3BMS6_HUMAN
46603,F5H3L6,F5H3L6_HUMAN
46604,D6RBA0,D6RBA0_HUMAN
46605,F5H2P0,F5H2P0_HUMAN
46606,B5MD17,B5MD17_HUMAN
46607,G3V4E4,G3V4E4_HUMAN
46608,C9JSS2,C9JSS2_HUMAN
46609,H3BN71,H3BN71_HUMAN
46610,A0A0J9YXX3,A0A0J9YXX3_HUMAN
46611,Q5QPC8,Q5QPC8_HUMAN
46612,U3KPW0,U3KPW0_HUMAN
46613,M0R2K3,M0R2K3_HUMAN
46614,D6R8Z1,D6R8Z1_HUMAN
46615,A0A7I2V3J1,A0A7I2V3J1_HUMAN
46616,C9JC04,C9JC04_HUMAN
46617,A0A5F9ZH28,A0A5F9ZH28_HUMAN
46618,A0A2R8Y692,A0A2R8Y692_HUMAN
46619,K7EIZ8,K7EIZ8_HUMAN
46620,H3BNC2,H3BNC2_HUMAN
46621,A6NK28,A6NK28_HUMAN
46622,A0A5H1ZRS0,A0A5H1ZRS0_HUMAN
46623,B0QY83,B0QY83_HUMAN
46624,G3V5D5,G3V5D5_HUMAN
46625,A0A6Q8PFS9,A0A6Q8PFS9_HUMAN
46626,F5H4Q3,F5H4Q3_HUMAN
46627,H0YLB6,H0YLB6_HUMAN
46628,J3QQM5,J3QQM5_HUMAN
46629,F5GWT4,F5GWT4_HUMAN
46630,B0QYJ6,B0QYJ6_HUMAN
46631,D6RGV5,D6RGV5_HUMAN
46632,A0A6Q8PGR6,A0A6Q8PGR6_HUMAN
46633,E9PMN1,E9PMN1_HUMAN
46634,A0A7I2V350,A0A7I2V350_HUMAN
46635,C9J078,C9J078_HUMAN
46636,H7BYS2,H7BYS2_HUMAN
46637,J3QLK0,J3QLK0_HUMAN
46638,C9JBN7,C9JBN7_HUMAN
46639,A0A1W2PQ54,A0A1W2PQ54_HUMAN
46640,G3V382,G3V382_HUMAN
46641,G3V5D0,G3V5D0_HUMAN
46642,A0A2R8YDL0,A0A2R8YDL0_HUMAN
46643,H7C4D5,H7C4D5_HUMAN
46644,A0A3B3ISY3,A0A3B3ISY3_HUMAN
46645,A0A7I2V5U4,A0A7I2V5U4_HUMAN
46646,A0A3B3ISH2,A0A3B3ISH2_HUMAN
46647,C9JIB2,C9JIB2_HUMAN
46648,E7ETN6,E7ETN6_HUMAN
46649,M0QYF5,M0QYF5_HUMAN
46650,H7BYR9,H7BYR9_HUMAN
46651,H3BUE3,H3BUE3_HUMAN
46652,M0QZC3,M0QZC3_HUMAN
46653,H0Y5I1,H0Y5I1_HUMAN
46654,F6U3F6,F6U3F6_HUMAN
46655,I3L223,I3L223_HUMAN
46656,A0A087WWN2,A0A087WWN2_HUMAN
46657,E5RJT4,E5RJT4_HUMAN
46658,H7BXN1,H7BXN1_HUMAN
46659,E9PJA3,E9PJA3_HUMAN
46660,E9PLL4,E9PLL4_HUMAN
46661,E9PPD0,E9PPD0_HUMAN
46662,I3L394,I3L394_HUMAN
46663,A0A7I2V4W7,A0A7I2V4W7_HUMAN
46664,H7C2K9,H7C2K9_HUMAN
46665,A0A494C1F2,A0A494C1F2_HUMAN
46666,G8JLI5,G8JLI5_HUMAN
46667,F8WDF2,F8WDF2_HUMAN
46668,A0A087WTU8,A0A087WTU8_HUMAN
46669,C9J0R9,C9J0R9_HUMAN
46670,I3L4P9,I3L4P9_HUMAN
46671,A0A140T9J9,A0A140T9J9_HUMAN
46672,C9J2E1,C9J2E1_HUMAN
46673,F2Z2C7,F2Z2C7_HUMAN
46674,H0YBT9,H0YBT9_HUMAN
46675,C9JSY6,C9JSY6_HUMAN
46676,H0Y8H7,H0Y8H7_HUMAN
46677,G3V3S9,G3V3S9_HUMAN
46678,M0R1X5,M0R1X5_HUMAN
46679,F8W9P2,F8W9P2_HUMAN
46680,H0Y9W4,H0Y9W4_HUMAN
46681,C9JKS0,C9JKS0_HUMAN
46682,H7C1Y3,H7C1Y3_HUMAN
46683,A0A0G2JN95,A0A0G2JN95_HUMAN
46684,E9PQ46,E9PQ46_HUMAN
46685,A0A7I2V5P5,A0A7I2V5P5_HUMAN
46686,H0YCZ6,H0YCZ6_HUMAN
46687,A0A1W2PP74,A0A1W2PP74_HUMAN
46688,A0A1W2PRX1,A0A1W2PRX1_HUMAN
46689,A0A1B0GW37,A0A1B0GW37_HUMAN
46690,E5RGZ5,E5RGZ5_HUMAN
46691,H3BV63,H3BV63_HUMAN
46692,A0A096LPH7,A0A096LPH7_HUMAN
46693,X6RLA8,X6RLA8_HUMAN
46694,M0R1A1,M0R1A1_HUMAN
46695,C9JUQ6,C9JUQ6_HUMAN
46696,D6RA67,D6RA67_HUMAN
46697,A0A3B3ITU3,A0A3B3ITU3_HUMAN
46698,A0A1B0GWH1,A0A1B0GWH1_HUMAN
46699,K7EPD4,K7EPD4_HUMAN
46700,A0A0J9YX09,A0A0J9YX09_HUMAN
46701,F5GXG2,F5GXG2_HUMAN
46702,A0A7I2V3G9,A0A7I2V3G9_HUMAN
46703,C9J965,C9J965_HUMAN
46704,H0Y8C4,H0Y8C4_HUMAN
46705,K7EQ42,K7EQ42_HUMAN
46706,A0A087X128,A0A087X128_HUMAN
46707,J3KSV5,J3KSV5_HUMAN
46708,H0YK38,H0YK38_HUMAN
46709,J3KSW2,J3KSW2_HUMAN
46710,A0A1C7CYW4,A0A1C7CYW4_HUMAN
46711,C9JA64,C9JA64_HUMAN
46712,A0A087WT23,A0A087WT23_HUMAN
46713,M0R2W2,M0R2W2_HUMAN
46714,H0YHS2,H0YHS2_HUMAN
46715,H0YLD1,H0YLD1_HUMAN
46716,C9JY51,C9JY51_HUMAN
46717,A0A0A0MS86,A0A0A0MS86_HUMAN
46718,C9JP35,C9JP35_HUMAN
46719,A0A087WWM2,A0A087WWM2_HUMAN
46720,H0YAA6,H0YAA6_HUMAN
46721,E9PQP6,E9PQP6_HUMAN
46722,E9PNY4,E9PNY4_HUMAN
46723,J3QLG1,J3QLG1_HUMAN
46724,S4R3N2,S4R3N2_HUMAN
46725,A0A075B7D4,A0A075B7D4_HUMAN
46726,H3BS00,H3BS00_HUMAN
46727,E9PGF5,E9PGF5_HUMAN
46728,H3BMT0,H3BMT0_HUMAN
46729,J3KP39,J3KP39_HUMAN
46730,F8WES7,F8WES7_HUMAN
46731,A0A2R8Y5K0,A0A2R8Y5K0_HUMAN
46732,H0YDQ3,H0YDQ3_HUMAN
46733,E7ES06,E7ES06_HUMAN
46734,H3BNN7,H3BNN7_HUMAN
46735,A0A7I2V2Y5,A0A7I2V2Y5_HUMAN
46736,E5RIJ4,E5RIJ4_HUMAN
46737,Q5TGM7,Q5TGM7_HUMAN
46738,A0A6I8PIP2,A0A6I8PIP2_HUMAN
46739,M0QYS4,M0QYS4_HUMAN
46740,H0YE47,H0YE47_HUMAN
46741,E9PRX3,E9PRX3_HUMAN
46742,A0A087X2I5,A0A087X2I5_HUMAN
46743,H3BQK1,H3BQK1_HUMAN
46744,M0QXF0,M0QXF0_HUMAN
46745,F8W8V4,F8W8V4_HUMAN
46746,H3BU88,H3BU88_HUMAN
46747,A0A1B0GVE2,A0A1B0GVE2_HUMAN
46748,H0YL97,H0YL97_HUMAN
46749,H7BZ06,H7BZ06_HUMAN
46750,G3V3E2,G3V3E2_HUMAN
46751,F2Z2E5,F2Z2E5_HUMAN
46752,D6RFW7,D6RFW7_HUMAN
46753,H0YC97,H0YC97_HUMAN
46754,J3KS53,J3KS53_HUMAN
46755,A0A1W2PPL8,A0A1W2PPL8_HUMAN
46756,F8VWH5,F8VWH5_HUMAN
46757,Q5JVX6,Q5JVX6_HUMAN
46758,F5H7H1,F5H7H1_HUMAN
46759,D6RHW8,D6RHW8_HUMAN
46760,F8WBK8,F8WBK8_HUMAN
46761,A0A075B6U7,A0A075B6U7_HUMAN
46762,D6RAE1,D6RAE1_HUMAN
46763,H0YBU7,H0YBU7_HUMAN
46764,H0YD60,H0YD60_HUMAN
46765,H7C1P1,H7C1P1_HUMAN
46766,C9J648,C9J648_HUMAN
46767,H7BY70,H7BY70_HUMAN
46768,A0A494C180,A0A494C180_HUMAN
46769,J3KP61,J3KP61_HUMAN
46770,H0YLU5,H0YLU5_HUMAN
46771,F8WAR8,F8WAR8_HUMAN
46772,F8WBS7,F8WBS7_HUMAN
46773,H0YDC8,H0YDC8_HUMAN
46774,E9PIF6,E9PIF6_HUMAN
46775,V9GYS6,V9GYS6_HUMAN
46776,H0Y9C5,H0Y9C5_HUMAN
46777,D6RAC6,D6RAC6_HUMAN
46778,H7C1Q9,H7C1Q9_HUMAN
46779,A0A3B3IS95,A0A3B3IS95_HUMAN
46780,H7C1D5,H7C1D5_HUMAN
46781,H7C133,H7C133_HUMAN
46782,J3QKM1,J3QKM1_HUMAN
46783,A0A3B3ITB5,A0A3B3ITB5_HUMAN
46784,A0A0A0MTM1,A0A0A0MTM1_HUMAN
46785,F8WDA6,F8WDA6_HUMAN
46786,A0A494C093,A0A494C093_HUMAN
46787,A0A1B0GUE2,A0A1B0GUE2_HUMAN
46788,K7EQV5,K7EQV5_HUMAN
46789,H0YKS7,H0YKS7_HUMAN
46790,F8VS14,F8VS14_HUMAN
46791,F5H6S4,F5H6S4_HUMAN
46792,Q5TCK5,Q5TCK5_HUMAN
46793,A0A2R8YDW9,A0A2R8YDW9_HUMAN
46794,A0A5F9ZH63,A0A5F9ZH63_HUMAN
46795,F8WDW3,F8WDW3_HUMAN
46796,A0A3B3ISG7,A0A3B3ISG7_HUMAN
46797,D6RCP4,D6RCP4_HUMAN
46798,A0A669KB47,A0A669KB47_HUMAN
46799,A0A3B3ITG4,A0A3B3ITG4_HUMAN
46800,D6RIB0,D6RIB0_HUMAN
